Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.764879,0.756426,0.790857
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.764842,0.755771,0.791387
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.765131,0.757152,0.791184
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.765694,0.756949,0.791349
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.765235,0.756178,0.791924
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.765449,0.757253,0.791984
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.764991,0.756024,0.791652
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.764924,0.755722,0.791531
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.764906,0.755952,0.791583
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.765101,0.756372,0.791846
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.764774,0.755820,0.791510
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.764716,0.755326,0.790951
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.765187,0.756990,0.791961
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.765503,0.756865,0.791060
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.765152,0.755365,0.791461
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.772966,0.764607,0.798403
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.772154,0.762445,0.797718
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.773406,0.763059,0.800778
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.773005,0.763923,0.801244
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.767890,0.758999,0.794597
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.773542,0.764099,0.798868
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.773339,0.763042,0.798624
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.773653,0.762746,0.799880
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.775973,0.761711,0.802023
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.773300,0.764136,0.802167
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.772460,0.763560,0.797956
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.766461,0.758361,0.793446
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.771977,0.763273,0.799295
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.774120,0.762332,0.801224
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.767863,0.757971,0.793485
