Naive,32,0.122468,0.113576,0.201456
Naive,64,0.122474,0.113614,0.200950
Naive,128,0.122390,0.113569,0.201201
Naive,256,0.122810,0.114040,0.200804
Naive,512,0.122408,0.113600,0.200688
Naive,1024,0.121883,0.113281,0.198794
Naive,32,0.122026,0.113629,0.196934
Naive,64,0.121945,0.113410,0.197931
Naive,128,0.120956,0.112517,0.196426
Naive,256,0.121781,0.113272,0.197356
Naive,512,0.120938,0.112396,0.197352
Naive,1024,0.121482,0.112957,0.197605
Naive,32,0.113523,0.113523,0.113523
Naive,64,0.113470,0.113470,0.113470
Naive,128,0.113419,0.113418,0.113418
Naive,256,0.113424,0.113424,0.113424
Naive,512,0.113457,0.113457,0.113457
Naive,1024,0.113121,0.113121,0.113121
Naive,1024,0.112045,0.112045,0.112045
Naive,1024,0.114223,0.114223,0.114223
Naive,1024,0.103737,0.103736,0.103736
Naive,1024,0.082857,0.082856,0.082856
Naive,1024,0.083333,0.083333,0.083333
Naive,1024,0.083815,0.083815,0.083815
Naive,1024,0.082992,0.082773,0.084145
Naive,1024,0.083365,0.082977,0.084439
Naive,32,0.059321,0.056824,0.062775
Naive,64,0.069293,0.068277,0.070200
Naive,128,0.069084,0.068391,0.070082
Naive,256,0.069205,0.068497,0.070820
Naive,512,0.077580,0.075023,0.081335
Naive,1024,0.083442,0.083312,0.083510
Transpose,1024,0.052182,0.051861,0.052901
Transpose,32,0.051310,0.051277,0.051389
Transpose,64,0.057675,0.057556,0.057823
Transpose,128,0.057419,0.057322,0.057572
Transpose,256,0.057343,0.057228,0.057524
Transpose,512,0.056872,0.056822,0.056958
Transpose,1024,0.048609,0.048531,0.048726
Naive,32,0.058179,0.055184,0.060927
Naive,64,0.073002,0.070608,0.076998
Naive,128,0.072409,0.071229,0.073881
Naive,256,0.076711,0.075183,0.078490
Naive,512,0.093236,0.087567,0.096432
Naive,1024,0.111081,0.100974,0.186311
Shmem,32,0.073538,0.073462,0.073705
Shmem,64,0.073551,0.072882,0.074285
Shmem,128,0.073516,0.072969,0.074322
Shmem,256,0.074111,0.073218,0.074508
Shmem,512,0.076049,0.075012,0.078327
Shmem,1024,0.080723,0.079891,0.081636
Transpose,32,0.050957,0.050574,0.051783
Transpose,64,0.057352,0.057119,0.057494
Transpose,128,0.057029,0.056908,0.057197
Transpose,256,0.056787,0.056714,0.056866
Transpose,512,0.056838,0.056667,0.057009
Transpose,1024,0.048691,0.048570,0.048808
Transpose,32,0.051713,0.051674,0.051796
Transpose,64,0.057516,0.057313,0.057897
Transpose,128,0.057056,0.056932,0.057244
Transpose,256,0.056984,0.056885,0.057072
Transpose,512,0.056833,0.056484,0.057127
Transpose,1024,0.048655,0.048539,0.048842
Transpose,32,0.050757,0.050715,0.050869
Transpose,64,0.056576,0.056372,0.056786
Transpose,128,0.056340,0.056206,0.056706
Transpose,256,0.055909,0.055848,0.055941
Transpose,512,0.055944,0.055848,0.056105
Transpose,1024,0.047850,0.047774,0.047940
Shmem,32,0.074419,0.073816,0.078631
Shmem,64,0.072346,0.072299,0.072430
Shmem,128,0.071735,0.071334,0.072498
Shmem,256,0.071484,0.071087,0.072138
Shmem,512,0.072880,0.072452,0.073601
Shmem,1024,0.076116,0.074518,0.078416
Shmem,32,0.071134,0.071031,0.071580
Shmem,64,0.077441,0.077351,0.077704
Shmem,128,0.077124,0.076758,0.077564
Shmem,256,0.077427,0.077304,0.077616
Shmem,512,0.072061,0.071513,0.072517
Shmem,1024,0.074529,0.073610,0.075486
Shmem,32,0.072116,0.071657,0.072292
Shmem,64,0.078165,0.077584,0.078688
Shmem,128,0.077653,0.077099,0.078489
Shmem,256,0.078291,0.077263,0.078503
Shmem,512,0.074275,0.073801,0.074570
Shmem,1024,0.074387,0.073874,0.075148
Shmem,32,0.071350,0.071275,0.071486
Shmem,64,0.077447,0.076918,0.078672
Shmem,128,0.077767,0.077157,0.078311
Shmem,256,0.077988,0.076961,0.078303
Shmem,512,0.072394,0.071352,0.073173
Shmem,1024,0.075364,0.074502,0.077529
Shmem,32,0.070325,0.070206,0.070826
Shmem,64,0.073741,0.069594,0.076456
Shmem,128,0.076300,0.076202,0.076517
Shmem,256,0.076394,0.076338,0.076482
Shmem,512,0.070654,0.070394,0.071028
Shmem,1024,0.072890,0.072465,0.073292
Shmem,32,0.071754,0.071418,0.072077
Shmem,64,0.076400,0.071763,0.078527
Shmem,128,0.078173,0.077402,0.078844
Shmem,256,0.078034,0.077974,0.078184
Shmem,512,0.072486,0.072238,0.072971
Shmem,1024,0.074724,0.074124,0.075255
Shmem,32,0.068909,0.068729,0.069117
Shmem,64,0.075199,0.074779,0.076063
Shmem,128,0.075196,0.074692,0.075884
Shmem,256,0.075569,0.075114,0.075846
Shmem,512,0.075305,0.074871,0.075586
Shmem,1024,0.069025,0.068381,0.069958
Transpose,32,0.057050,0.051776,0.070271
Transpose,64,0.057527,0.057252,0.057893
Transpose,128,0.057318,0.057180,0.057454
Transpose,256,0.056836,0.056682,0.057088
Transpose,512,0.056948,0.056744,0.057196
Transpose,1024,0.048958,0.048882,0.049070
Shmem,32,0.066675,0.066534,0.066788
Shmem,64,0.076032,0.075922,0.076287
Shmem,128,0.075698,0.075568,0.075939
Shmem,256,0.075352,0.074690,0.075526
Shmem,512,0.074839,0.074675,0.075158
Shmem,1024,0.068179,0.067765,0.068601
Transpose,32,0.050601,0.050559,0.050725
Transpose,64,0.056462,0.056245,0.056621
Transpose,128,0.055988,0.055910,0.056051
Transpose,256,0.055909,0.055848,0.056058
Transpose,512,0.055852,0.055731,0.055998
Transpose,1024,0.047623,0.047533,0.047955
Shmem,32,0.064936,0.064719,0.065532
Shmem,64,0.074472,0.074070,0.075094
Shmem,128,0.074316,0.074205,0.074548
Shmem,256,0.074644,0.074109,0.074976
Shmem,512,0.074471,0.073826,0.074887
Shmem,1024,0.067976,0.067801,0.068349
Transpose,32,0.050631,0.050582,0.050725
Transpose,64,0.056551,0.056292,0.056751
Transpose,128,0.056085,0.055887,0.056349
Transpose,256,0.055730,0.055621,0.055888
Transpose,512,0.055803,0.055715,0.055987
Transpose,1024,0.047664,0.047502,0.047782
Shmem,32,0.067642,0.067282,0.068010
Shmem,64,0.075383,0.075258,0.075436
Shmem,128,0.075079,0.075003,0.075192
Shmem,256,0.075131,0.074986,0.075736
Shmem,512,0.074535,0.074180,0.074738
Shmem,1024,0.068134,0.067741,0.068521
Transpose,32,0.050188,0.049873,0.050954
Transpose,64,0.056578,0.056378,0.056854
Transpose,128,0.056387,0.056290,0.056510
Transpose,256,0.056240,0.056136,0.056486
Transpose,512,0.056133,0.055996,0.056269
Transpose,1024,0.047983,0.047884,0.048040
Shmem,32,0.065074,0.064926,0.065230
Shmem,64,0.074283,0.073987,0.074478
Shmem,128,0.074201,0.073849,0.074380
Shmem,256,0.074010,0.073819,0.074260
Shmem,512,0.074097,0.073976,0.074319
Shmem,1024,0.068312,0.068241,0.068573
Transpose,32,0.070089,0.069782,0.070396
Transpose,64,0.075918,0.075374,0.076319
Transpose,128,0.075240,0.074591,0.075853
Transpose,256,0.075074,0.074902,0.075913
Transpose,512,0.075003,0.074852,0.075163
